
Papaver rhoeas
Melilotus officinalis
Onobrychis caput-galli
Hedysarum alpinum
Melilotus altissimus
Onobrychis sennenii
Abelia mosanensis
Abutilon indicum
Acacia farnesiana
Acanthus mollis
Acer platanoides
Acer pseudoplatanus
Achillea ligustica
Achillea millefolium
Aconitum nevadense
Aconitum napellus
Adenocarpus complicatus
Aegilops caudata
Aegilops geniculata
Aeonium decorum
Aeonium glutinosum
Aeonium haworthii
Aeonium palmense
Aeonium virgineum
Aeonium viscatum
Aethionema arabicum
Aethionema saxatile
Agrimonia eupatoria
Agrostis duriaei
Aichryson palmense
Allium moly
Allium schoenoprasum
Allium lusitanicum
Allium tuberosum
Alyssoides graeca
Alyssum atlanticum
Alyssum dasycarpum
Alyssum flahaultianum
Alyssum halimifolium
Alyssum linifolium
Alyssum markgrafii
Alyssum serpyllifolium
Amaranthus albus
Amaranthus caudatus
Amaranthus hybridus
Amelanchier ovalis
Ammi majus
Ammophila arenaria
Anacyclus alboranensis
Anagyris latifolia
Anarrhinum fruticosum
Anchusa crispa
Angelica razulii
Anthemis aetnensis
Anthemis cupaniana
Anthericum baeticum
Anthyllis polycephala
Anthyllis plumosa
Antirrhinum hispanicum
Antirrhinum litigiosum
Antirrhinum molle
Antirrhinum siculum
Antirrhinum valentinum
Agrostis interrupta
Apium graveolens
Apollonias barbujana
Aquilegia amaliae
Aquilegia cazorlensis
Aquilegia pyrenaica
Aquilegia vulgaris
Arabis suecica
Arabidopsis suecica
Arabis alpina
Arabis borealis
Arabis caerulea
Arabis ciliata
Arabis hirsuta
Arabis parvula
Arabis scabra
Arabis verna
Arctium minus
Arenaria conimbricensis
Arenaria grandiflora
Arenaria purpurascens
Argyranthemum coronopifolium
Argyranthemum foeniculaceum
Argyranthemum haouarytheum
Armeria alliacea
Armeria nebrodensis
Armeria cantabrica
Armeria filicaulis
Armeria maritima
Armeria splendens
Armeria villosa
Aronia melanocarpa
Artemisia argentea
Artemisia campestris
Artemisia pedemontana
Arundo donax
Asparagus umbellatus
Asperula paui
Asphodelus ramosus
Aster willkommii
Astragalus alopecuroides
Astragalus edulis
Astragalus granatensis
Astragalus hamosus
Astragalus incanus
Astydamia latifolia
Atriplex glauca
Atriplex rosea
Alyssum saxatile
Ballota hirsuta
Barbarea stricta
Barbarea vulgaris
Barbarea arcuata
Berberis vulgaris
Bergeranthus scapiger
Betula aetnensis
Biscutella auriculata
Biscutella didyma
Biscutella apula
Biscutella scaposa
Biscutella laevigata
Brachypodium arbuscula
Brassica balearica
Brassica fruticulosa
Brassica maurorum
Brassica nigra
Brassica rapa
Brassica pekinensis
Brassica rupestris
Brassica villosa
Braya alpina
Bromus unioloides
Bromus diandrus
Bromus hordeaceus
Bromus japonicus
Bromus madritensis
Bromus rubens
Bromus squarrosus
Bromus sterilis
Bryonia verrucosa
Bupleurum fruticescens
Bupleurum rotundifolium
Bupleurum salicifolium
Buxus sempervirens
Cachrys sicula
Calendula suffruticosa
Calendula maritima
Calotropis procera
Calystegia soldanella
Campanula rapunculoides
Campanula speciosa
Campsis radicans
Campylanthus salsoloides
Canarina canariensis
Canna coccinea
Canna indica
Capsella bursa-pastoris
Capsella rubella
Cardamine bulbifera
Cardamine chelidonia
Cardamine enneaphyllos
Cardamine glauca
Cardamine graeca
Cardamine heptaphylla
Cardamine hirsuta
Cardamine impatiens
Cardamine parviflora
Cardamine digitata
Cardamine pratensis
Carduus assoi
Carduus broteroi
Carex pendula
Carlina corymbosa
Carpinus betulus
Carpobrotus edulis
Caucalis platycarpos
Streptanthus heterophyllus
Cedrus atlantica
Celosia cristata
Celosia plumosa
Celtis australis
Centaurea alba
Centaurea boissieri
Centaurea bombycina
Centaurea cineraria
Centaurea citricolor
Centaurea clementei
Centaurea cordubensis
Centaurea haenseleri
Centaurea hyssopifolia
Centaurea monticola
Centaurea nigra
Centaurea paniculata
Centaurea pinnata
Centaurea prolongi
Centaurea seridis
Centaurea solstitialis
Centaurium linariifolium
Cephalaria leucantha
Cerastium banaticum
Cercidium floridum
Euphorbia nutans
Chelidonium majus
Chenopodium album
Chenopodium opulifolium
Cirsium acaule
Cirsium palustre
Cirsium vulgare
Cistus albanicus
Cistus creticus
Cistus incanus
Cistus ladanifer
Cistus libanotis
Citrullus vulgaris
Citrullus lanatus
Cladium mariscus
Clematis vitalba
Clerodendrum trichotomum
Cneorum tricoccon
Cochlearia glastifolia
Coincya rupestris
Conopodium bunioides
Conopodium thalictrifolium
Consolida ajacis
Convolvulus cneorum
Convolvulus glandulosus
Convolvulus subauriculatus
Corema album
Corylus avellana
Crambe arborea
Crambe filiformis
Crambe laevigata
Crambe santosii
Crambe scaberrima
Crambe sventenii
Crataegus azarolus
Crepis albida
Crepis canariensis
Crepis oporinoides
Crepis triasii
Cryptospora falcata
Cryptotaenia elegans
Cucumis africanus
Cucumis dipsaceus
Cucumis melo
Cucurbita ficifolia
Cucurbita maxima
Cucurbita pepo
Cuminum cyminum
Cupressus macrocarpa
Cynara alba
Cynoglossum columnae
Cyperus capitatus
Cyphomandra betacea
Cypripedium calceolus
Cytisus multiflorus
Cytisus tener
Dasypyrum villosum
Datura ferox
Datura stramonium
Daucus carota
Daucus crinitus
Daucus muricatus
Delphinium elatum
Descurainia bourgaeana
Descurainia preauxiana
Descurainia sophia
Dethawia tenuifolia
Dianthus sylvestris
Dianthus malacitanus
Dianthus scaber
Dianthus plumosus
Dianthus subacaulis
Dianthus pyrenaicus
Didesmus aegyptius
Digitalis thapsi
Diospyros kaki
Dipsacus sativus
Doronicum carpetanum
Draba aizoides
Draba arabisans
Draba aurea
Draba daurica
Draba hirta
Draba lasiocarpa
Draba corsica
Draba nivalis
Draba oxycarpa
Draba stellata
Draba tomentosa
Echinops strigosus
Echium albicans
Echium callithyrsum
Echium candicans
Echium gentianoides
Echium hierrense
Echium italicum
Echium nervosum
Echium lusitanicum
Echium strictum
Echium virescens
Echium wildpretii
Elaeoselinum asclepium
Enarthrocarpus arcuatus
Enarthrocarpus clavatus
Enterolobium contortisiliqua
Ephedra distachya
Epilobium paniculatum
Epilobium parviflorum
Eremobium aegyptiacum
Erica arborea
Erica mackaiana
Erica scoparia
Erigeron frigidus
Erodium glaucophyllum
Eruca sativa
Erucaria pinnata
Erucastrum abyssinicum
Erucastrum cardaminoides
Syrenia cana
Erysimum cheiranthoides
Erysimum crepidifolium
Erysimum cuspidatum
Erysimum diffusum
Erysimum grandiflorum
Erysimum wahlenbergii
Erysimum mutabile
Erysimum odoratum
Erysimum repandum
Erysimum sylvestre
Erysimum virgatum
Erythrina poeppigiana
Eschscholzia californica
Euclidium syriacum
Euphorbia aphylla
Euphorbia atropurpurea
Euphorbia brittingeri
Euphorbia canariensis
Euphorbia characias
Euphorbia lagascae
Euphorbia marginata
Euphorbia melapetala
Euphorbia regis-jubae
Euphorbia serrata
Fagonia cretica
Farsetia aegyptiaca
Farsetia ramosissima
Festuca frigida
Festuca rubra
Festuca granatensis
Fibigia clypeata
Fibigia lunarioides
Fibigia triquetra
Foeniculum vulgare
Fragaria chiloensis
Fraxinus angustifolia
Fraxinus excelsior
Fritillaria pyrenaica
Gaillardia grandiflora
Galactites duriaei
Galium aetnicum
Galium ephedroides
Galium idubedae
Galium lucidum
Gaudinia fragilis
Genista dorycnifolia
Genista florida
Genista hirsuta
Genista longipes
Genista obtusiramea
Genista polyanthos
Genista scorpius
Genista valentina
Gentiana lutea
Gentiana montserratii
Gentiana angustifolia
Gentiana pneumonanthe
Geococcus pusillus
Geum hispidum
Globularia alypum
Globularia spinosa
Gomphocarpus fruticosus
Gonospermum fruticosum
Greenovia diplocycla
Gypsophila struthium
Halimium halimifolium
Halimium lasianthum
Halimium alyssoides
Halimium umbellatum
Halopeplis amplexicaulis
Haplophyllum linifolium
Hedera helix
Hedysarum spinosissimum
Helianthemum asperum
Helianthemum nummularium
Helianthemum squamatum
Helichrysum italicum
Helichrysum stoechas
Heliophila crithmifolia
Heliophila dissecta
Heliophila trifurca
Helleborus corsicus
Heracleum sphondylium
Herniaria fruticosa
Hesperis laciniata
Hibiscus cannabinus
Hippocrepis scabra
Hirschfeldia incana
Hordeum bulbosum
Hordeum jubatum
Sedum maximum
Sedum oreganum
Sedum telephium
Sedum fabaria
Sedum purpureum
Sedum verticillatum
Hymenolobus procumbens
Hyoseris radiata
Hypericum canariense
Hypericum ericoides
Hypericum glandulosum
Hypericum inodorum
Hypericum undulatum
Iberis amara
Iberis odorata
Iberis saxatilis
Iberis semperflorens
Iberis sempervirens
Iberis umbellata
Imperata cylindrica
Ipomoea purpurea
Iris germanica
Isatis glauca
Isatis lusitanica
Isatis praecox
Isomeris arborea
Isoplexis canariensis
Isoplexis isabelliana
Jasione humilis
Jasione montana
Juncus glaucus
Juniperus communis
Juniperus oxycedrus
Juniperus phoenicea
Juniperus sabina
Juniperus thurifera
Justicia hyssopifolia
Kochia trichophylla
Koeleria caudata
Koelreuteria paniculata
Lampranthus bicolor
Laser trilobum
Laserpitium garganicum
Lathyrus latifolius
Launaea resedifolia
Launaea pumila
Laurus nobilis
Lavandula angustifolia
Lavandula latifolia
Lavandula multifida
Lavandula pinnata
Lavatera mauritanica
Leontodon boryi
Leontodon hispidus
Lepidium bonariense
Lepidium campestre
Lepidium heterophyllum
Lepidium horstii
Lepidium lasiocarpum
Lepidium ruderale
Lepidium sativum
Lepidium spinosum
Lepidium subulatum
Lepidium virginicum
Ligustrum japonicum
Ligustrum ovalifolium
Lilium candidum
Lilium pyrenaicum
Limonium girardianum
Limonium imbricatum
Limonium vulgare
Linaria aeruginea
Linaria amoi
Linaria clementei
Linaria elegans
Linaria filicaulis
Linaria glauca
Linaria pedunculata
Linaria saxatilis
Linaria spartea
Linaria triornithophora
Linaria tristis
Linum austriacum
Linum suffruticosum
Linum usitatissimum
Liriodendron tulipifera
Lobularia palmensis
Lolium perenne
Lolium rigidum
Lolium temulentum
Lonicera etrusca
Lonicera periclymenum
Lonicera pyrenaica
Lonicera xylosteum
Lotus glaucus
Lotus creticus
Lupinus angustifolius
Lupinus polyphyllus
Luzula lactea
Lycium barbarum
Lycopus europaeus
Lysimachia ephemerum
Maclura pomifera
Malcolmia africana
Malcolmia trichocarpa
Malcolmia littorea
Malus domestica
Malva hispanica
Malva moschata
Malva parviflora
Marrubium parnassicum
Marrubium supinum
Matthiola fruticulosa
Matthiola longipetala
Matthiola odoratissima
Matthiola parviflora
Matthiola sinuata
Matthiola tricuspidata
Medicago marina
Medicago minima
Medicago orbicularis
Medicago rigidula
Melothria pendula
Mentha pulegium
Mentha rotundifolia
Mestoklema arboriforme
Metrosideros excelsa
Microcnemum coralloides
Micropyrum patens
Mimosa pudica
Minuartia rubra
Momordica charantia
Monanthes icterica
Monanthes laxiflora
Monanthes muralis
Monnina cuneata
Moricandia foetida
Morus alba
Myrica faya
Narcissus longispathus
Narcissus serotinus
Nasturtiopsis coronopifolia
Nasturtium microphyllum
Nasturtium officinale
Nepeta nepetella
Nepeta amethystina
Nepeta sulphurea
Nepeta tuberosa
Nicotiana rustica
Nigella hispanica
Oenothera biennis
Oenothera mollissima
Oenothera stricta
Olea europaea
Ononis crispa
Onopordum corymbosum
Onopordum macracanthum
Onosma echioides
Opuntia ficus-indica
Origanum vulgare
Origanum virens
Ornithogalum reverchonii
Aria edulis
Braya humilis
Carex nigra
Astragalus hypoglottis
Silene ciliata
Melilotus indicus
Achyranthes aspera
Allium ampeloprasum
Odontarrhena argentea
Odontarrhena muralis
Amaranthus blitum
Armeria humilis
Atriplex lampa
Bromus rigidus
Erythrostemon gilliesii
Capsicum frutescens
Chrozophora tinctoria
Citrus aurantium
Thymbra capitata
Dryas drummondii
Agropyron glaucum
Erysimum rhaeticum
Hieracium affine
Heliophila coronopifolia
Heliotropium europaeum
Lupinus microphyllus
Momordica balsamina
Arenaria aggregata
Erysimum hieraciifolium
Lobularia libyca
Lotus dorycnium
Cistus salviifolius
Iris xiphium
Melilotus italicus
Alyssum bornmuelleri
Andryala webbii
Artocarpus altilis
Astragalus siculus
Atriplex tatarica
Aubrieta deltoidea
Aubrieta gracilis
Callicarpa dichotoma
Canavalia ensiformis
Catananche caerulea
Centaurium erythraea
Cistus osbeckiifolius
Coffea arabica
Erigeron bonariensis
Crassula tillaea
Cucumis anguria
Draba primuloides
Draba siliquosa
Epilobium duriaei
Glycyrrhiza glabra
Helianthemum apenninum
Hypericum coadunatum
Rhaponticum centauroides
Lonicera maackii
Melia azedarach
Odontites viscosus
Oenanthe crocata
